en,es,candidates
Hello world,Hola mundo,"['Hola mundo', 'Hola mundo', 'Hola mundo']"
Good morning,Buenos días,"['Buenos días.', 'Buenos días.', 'Buenos días.']"
Thank you,Gracias,"['Gracias.', 'Gracias.', 'Gracias.']"
I love movies,Me encantan las películas,"['Me encantan las películas.', 'Me encantan las películas.', 'Me encantan las películas.']"
See you later,Hasta luego,"['Hasta luego.', 'Hasta luego.', 'Hasta luego.']"
What a great show,¡Qué gran espectáculo!,"['¡Qué gran espectáculo!', '¡Qué gran espectáculo!', '¡Qué gran espectáculo!']"
Enjoy your day,Disfruta tu día,"['Disfruta de tu día', 'Disfruta de tu día', 'Disfruta de tu día']"
Let's watch together,Miremos juntos,"['Vamos a ver juntos.', 'Vamos a ver juntos.', 'Vamos a ver juntos.']"
Amazing story,Historia increíble,"['Una historia increíble', 'Una historia increíble', 'Una historia increíble']"
Have fun,¡Diviértete!,"['Diviértete.', 'Diviértete.', 'Diviértete.']"
